"","ID","Role"
"H. I., student in divinity.","H. I., student in divinity.","Author"
"Véron, John, d. 1563.","Véron, John, d. 1563.","Author"
"Velthoven, Adrian.","Velthoven, Adrian.","Author"
"Coxe, John.","Coxe, John.","Author"
"Bunny, Francis, 1543-1617.","Bunny, Francis, 1543-1617.","Author"
"Abbot, George, 1604-1649.","Abbot, George, 1604-1649.","Author"
"Askham, Anthony, fl. 1553.","Askham, Anthony, fl. 1553.","Author"
"Buonaccorsi, Andrea.","Buonaccorsi, Andrea.","Author"
"Burel, John.","Burel, John.","Author"
"Burne, Nicol.","Burne, Nicol.","Author"
"Burroughs, Jeremiah, 1599-1646.","Burroughs, Jeremiah, 1599-1646.","Author"
"Burt, Thomas, preacher of the word.","Burt, Thomas, preacher of the word.","Author"
"Burton, Henry, 1578-1648.","Burton, Henry, 1578-1648.","Author"
"Burton, Robert, 1577-1640.","Burton, Robert, 1577-1640.","Author"
"Le Sylvain, ca. 1535-ca. 1585.","Le Sylvain, ca. 1535-ca. 1585.","Author"
"Pyott, Lazarus.","Pyott, Lazarus.","Author"
"Bush, Paul, 1490-1558.","Bush, Paul, 1490-1558.","Author"
"Bushell, Thomas, 1594-1674.","Bushell, Thomas, 1594-1674.","Author"
"Ives, Simon, 1600-1662.","Ives, Simon, 1600-1662.","Author"
"Busher, Leonard.","Busher, Leonard.","Author"
"Abbot, John, fl. 1623.","Abbot, John, fl. 1623.","Author"
"Butts, Henry, d. 1632.","Butts, Henry, d. 1632.","Author"
"I. B., fl. 1621.","I. B., fl. 1621.","Author"
"Buckminster, Thomas, ca. 1531-1599?","Buckminster, Thomas, ca. 1531-1599?","Author"
"Rules of a holy life. aut","Rules of a holy life. aut","Author"
"W. C.","W. C.","Author"
"Byll, Thomas.","Byll, Thomas.","Author"
"G. C.","G. C.","Author"
"G. L.","G. L.","Author"
"H. C., fl. 1637.","H. C., fl. 1637.","Author"
"I. C.","I. C.","Author"
"J. C., fl. 1620.","J. C., fl. 1620.","Author"
"Student in Cambridge.","Student in Cambridge.","Author"
"N. C.","N. C.","Author"
"T.H., Sir (Thomas Hawkins), d. 1640.","T.H., Sir (Thomas Hawkins), d. 1640.","Author"
"R. C., fl. 1602.","R. C., fl. 1602.","Author"
"R. C.","R. C.","Author"
"Cottington, R.","Cottington, R.","Author"
"Wittewronghelus, Jacobus.","Wittewronghelus, Jacobus.","Author"
"T. C., fl. 1579.","T. C., fl. 1579.","Author"
"Cartwright, T.","Cartwright, T.","Author"
"Clark, William, d. 1603.","Clark, William, d. 1603.","Author"
"Barneby, Francis. aut","Barneby, Francis. aut","Author"
"W. C., Bachelor of the Civil Law.","W. C., Bachelor of the Civil Law.","Author"
"Cabasilas, Nicolaus, 14th cent.","Cabasilas, Nicolaus, 14th cent.","Author"
"Gressop, Thomas.","Gressop, Thomas.","Author"
"Caddell, Peter.","Caddell, Peter.","Author"
"J. D.","J. D.","Author"
"Dade, John, fl. 1589-1614.","Dade, John, fl. 1589-1614.","Author"
"Caesar, Julius.","Caesar, Julius.","Author"
"Hirtius, Aulus. De bello Gallico. Liber 8.","Hirtius, Aulus. De bello Gallico. Liber 8.","Author"
"Caesar, Philipp, d. 1585.","Caesar, Philipp, d. 1585.","Author"
"Hemmingsen, Neils, 1513-1600.","Hemmingsen, Neils, 1513-1600.","Author"
"Caius, John, 1510-1573.","Caius, John, 1510-1573.","Author"
"Digges, Leonard, d. 1571?","Digges, Leonard, d. 1571?","Author"
"Dove, Jonathan.","Dove, Jonathan.","Author"
"Cowper, William, 1568-1619.","Cowper, William, 1568-1619.","Author"
"Caldwell, John, parson of Winwick.","Caldwell, John, parson of Winwick.","Author"
"Calthrope, Charles, Sir, d. 1616.","Calthrope, Charles, Sir, d. 1616.","Author"
"Calverley, William.","Calverley, William.","Author"
"White, Andrew, 1579-1656.","White, Andrew, 1579-1656.","Author"
"Erra Pater.","Erra Pater.","Author"
"W. F., fl. 1578.","W. F., fl. 1578.","Author"
"Broke, Thomas.","Broke, Thomas.","Author"
"Danske folkekirke.","Danske folkekirke.","Author"
"Ragueneau, Denys.","Ragueneau, Denys.","Author"
"Frende, Gabriel, fl. 1584-1599.","Frende, Gabriel, fl. 1584-1599.","Author"
"A. L., fl. 1560.","A. L., fl. 1560.","Author"
"Horne, Robertc1519?","Horne, Robertc1519?","Author"
"Cambini, Andrea, d. 1527.","Cambini, Andrea, d. 1527.","Author"
"Shute, John, fl. 1562-1573.","Shute, John, fl. 1562-1573.","Author"
"Cambridge (England)","Cambridge (England)","Author"
"Hawkins, Henry, of Peterhouse, Cambridge.","Hawkins, Henry, of Peterhouse, Cambridge.","Author"
"Scot, John.","Scot, John.","Author"
"Cambridgeshire (England)","Cambridgeshire (England)","Author"
"Darcie, Abraham, fl. 1625.","Darcie, Abraham, fl. 1625.","Author"
"Browne, Thomas, 1604?","Browne, Thomas, 1604?","Author"
"Camel, Thomas.","Camel, Thomas.","Author"
"Cameron, John, 1579?","Cameron, John, 1579?","Author"
"Verneuil, John, 1582 or 3-1647.","Verneuil, John, 1582 or 3-1647.","Author"
"Campbell, Ninian, 1599-1657.","Campbell, Ninian, 1599-1657.","Author"
"Alfield, Thomas, 1552-1585.","Alfield, Thomas, 1552-1585.","Author"
"Somerset, Robert Carr, Earl of, d. 1645.","Somerset, Robert Carr, Earl of, d. 1645.","Author"
"Somerset, Frances Howard Carr, Countess of, 1593-1632.","Somerset, Frances Howard Carr, Countess of, 1593-1632.","Author"
"Banbury, William Knollys, Earl of, 1547-1632.","Banbury, William Knollys, Earl of, 1547-1632.","Author"
"Coperario, John, 1570 (ca.)-1626.","Coperario, John, 1570 (ca.)-1626.","Author"
"Camus, Jean-Pierre, 1584-1652.","Camus, Jean-Pierre, 1584-1652.","Author"
"Carre, Thomas, 1599-1674.","Carre, Thomas, 1599-1674.","Author"
"Cancellar, James,","Cancellar, James,","Author"
"Canisius, Petrus, Saint, 1521-1597.","Canisius, Petrus, Saint, 1521-1597.","Author"
"Smyth, Roger, 1541-1624 or 5.","Smyth, Roger, 1541-1624 or 5.","Author"
"Canne, John, d. 1667?","Canne, John, d. 1667?","Author"
"Joannes Jacobi, d. 1384.","Joannes Jacobi, d. 1384.","Author"
"Caoursin, Guillaume, d. 1501.","Caoursin, Guillaume, d. 1501.","Author"
"Kay, John, poet.","Kay, John, poet.","Author"
"John, of Tynemouth, d. 1290?","John, of Tynemouth, d. 1290?","Author"
"Powell, David, 1552?","Powell, David, 1552?","Author"
"Price, John, Sir, 1502?","Price, John, Sir, 1502?","Author"
"Cardano, Girolamo, 1501-1576.","Cardano, Girolamo, 1501-1576.","Author"
"Cary, Elizabeth, Lady, 1585 or 6-1639.","Cary, Elizabeth, Lady, 1585 or 6-1639.","Author"
"Carew, Thomas, 1595?","Carew, Thomas, 1595?","Author"
"Carion, Johannes, 1499-1537 or 8.","Carion, Johannes, 1499-1537 or 8.","Author"
"Funck, Johann, 1518-1566.","Funck, Johann, 1518-1566.","Author"
"Lynne, Walter.","Lynne, Walter.","Author"
"Carlton, Richard, ca. 1558-1638?","Carlton, Richard, ca. 1558-1638?","Author"
"Carlile, Christopher, d. 1588?","Carlile, Christopher, d. 1588?","Author"
"Carpenter, Nathanael. 1589-1628?","Carpenter, Nathanael. 1589-1628?","Author"
"Carpenter, Nathanael, 1589-1628?","Carpenter, Nathanael, 1589-1628?","Author"
"N. H., fl. 1633.","N. H., fl. 1633.","Author"
"Carr, John, citezein of London.","Carr, John, citezein of London.","Author"
"Phillippes, W.","Phillippes, W.","Author"
"Cart, John.","Cart, John.","Author"
"Linche, Richard.","Linche, Richard.","Author"
"Cartari, Vincenzo, b. ca. 1500.","Cartari, Vincenzo, b. ca. 1500.","Author"
"Carter, John, diacon.","Carter, John, diacon.","Author"
"Carter, Richard.","Carter, Richard.","Author"
"Cartier, Jacques, 1491-1557.","Cartier, Jacques, 1491-1557.","Author"
"Cartigny, Jean de, 1520?","Cartigny, Jean de, 1520?","Author"
"Goodyear, William.","Goodyear, William.","Author"
"Cartwright, Francis.","Cartwright, Francis.","Author"
"Cartwright, John, of Magdalen College, Oxford.","Cartwright, John, of Magdalen College, Oxford.","Author"
"Cartwright, William, 1611-1643.","Cartwright, William, 1611-1643.","Author"
"Cary, Walter.","Cary, Walter.","Author"
"Casas, Bartolomé de las, 1474-1566.","Casas, Bartolomé de las, 1474-1566.","Author"
"M. M. S., fl. 1583.","M. M. S., fl. 1583.","Author"
"Casaubon, Isaac, 1559-1614.","Casaubon, Isaac, 1559-1614.","Author"
"Casaubon, Meric, 1599-1671.","Casaubon, Meric, 1599-1671.","Author"
"Laet, Jaspar, fl. 1530-1544.","Laet, Jaspar, fl. 1530-1544.","Author"
"Castellion, Sébastien, 1515-1563.","Castellion, Sébastien, 1515-1563.","Author"
"Castiglione, Baldassarre, conte, 1478-1529.","Castiglione, Baldassarre, conte, 1478-1529.","Author"
"Publilius, Syrus, 1st cent. B.C. Mimi. aut","Publilius, Syrus, 1st cent. B.C. Mimi. aut","Author"
"Burgh, Benedict.","Burgh, Benedict.","Author"
"Burrant, Robert.","Burrant, Robert.","Author"
"Penkethman, John.","Penkethman, John.","Author"
"Caudry, Thomas.","Caudry, Thomas.","Author"
"Cavendish, Michael, ca. 1565-1628.","Cavendish, Michael, ca. 1565-1628.","Author"
"Caylie, Mathew.","Caylie, Mathew.","Author"
"Wimbledon, Edward Cecil, Viscount, 1572-1638.","Wimbledon, Edward Cecil, Viscount, 1572-1638.","Author"
"Ros, William Cecil, Lord, 1590-1618.","Ros, William Cecil, Lord, 1590-1618.","Author"
"Céspedes y Meneses, Gonzalo de, 1585?","Céspedes y Meneses, Gonzalo de, 1585?","Author"
"Digges, Leonard, 1588-1635.","Digges, Leonard, 1588-1635.","Author"
"Jacobus, de Cessolis, fl. 1288-1322","Jacobus, de Cessolis, fl. 1288-1322","Author"
"Cevoli, Francesco.","Cevoli, Francesco.","Author"
"Chaderton, Laurence, 1536?","Chaderton, Laurence, 1536?","Author"
"Dering, Edward, 1540?","Dering, Edward, 1540?","Author"
"Nostradamus, 1503-1566.","Nostradamus, 1503-1566.","Author"
"Chaloner, Edward, 1590 or 91-1625.","Chaloner, Edward, 1590 or 91-1625.","Author"
"Chaloner, Thomas, Sir, 1561-1615.","Chaloner, Thomas, Sir, 1561-1615.","Author"
"Chamberlain, Robert, b. 1607.","Chamberlain, Robert, b. 1607.","Author"
"Chamberlaine, Bartholomew, 1545 or 6-1621.","Chamberlaine, Bartholomew, 1545 or 6-1621.","Author"
"Champneys, John, fl. 1548.","Champneys, John, fl. 1548.","Author"
"Juvenal. Satura 5. English.","Juvenal. Satura 5. English.","Author"
"Chapman, John, fl. 1596.","Chapman, John, fl. 1596.","Author"
"Chapman, Richard, d. 1634.","Chapman, Richard, d. 1634.","Author"
"Chappell, Geoffrey.","Chappell, Geoffrey.","Author"
"Chappell, Bartholomew.","Chappell, Bartholomew.","Author"
"Chute, Anthony, d. 1595?","Chute, Anthony, d. 1595?","Author"
"Drummond, William, 1585-1649.","Drummond, William, 1585-1649.","Author"
"Almansa y Mendoza, Andres, 17th cent.","Almansa y Mendoza, Andres, 17th cent.","Author"
"Guise, François de Lorraine, duc de, 1519-1563.","Guise, François de Lorraine, duc de, 1519-1563.","Author"
"Charles Emmanuel I, Duke of Savoy, 1562-1630.","Charles Emmanuel I, Duke of Savoy, 1562-1630.","Author"
"Charron, Pierre, 1541-1603.","Charron, Pierre, 1541-1603.","Author"
"Lennard, Samson, d. 1633.","Lennard, Samson, d. 1633.","Author"
"Chartier, Alain, 15th cent.","Chartier, Alain, 15th cent.","Author"
"Thynne, William, d. 1546.","Thynne, William, d. 1546.","Author"
"Davies, Richard, fl. 1610.","Davies, Richard, fl. 1610.","Author"
"Amerie, Robert.","Amerie, Robert.","Author"
"Henry Frederick, Prince of Wales, 1594-1612.","Henry Frederick, Prince of Wales, 1594-1612.","Author"
"Chester, Robert, 1566-1640.","Chester, Robert, 1566-1640.","Author"
"Chetwynd, Edward, 1577-1639.","Chetwynd, Edward, 1577-1639.","Author"
"Chevalier, Guillaume de, ca. 1564-ca. 1620.","Chevalier, Guillaume de, ca. 1564-ca. 1620.","Author"
"Heigham, Thomas.","Heigham, Thomas.","Author"
"Chibald, William, 1575-1641.","Chibald, William, 1575-1641.","Author"
"Chillingworth, William, 1602-1644.","Chillingworth, William, 1602-1644.","Author"
"Knott, Edward1582-1656.","Knott, Edward1582-1656.","Author"
"Cholmley, Hugh, ca. 1574-1641.","Cholmley, Hugh, ca. 1574-1641.","Author"
"Salnar.","Salnar.","Author"
"Christopherson, John, d. 1558.","Christopherson, John, d. 1558.","Author"
"Farrant, John.","Farrant, John.","Author"
"Camel, Thomas. To David Dycars when.","Camel, Thomas. To David Dycars when.","Author"
"Camel, Thomas. Camels rejoindre, to Churchyarde.","Camel, Thomas. Camels rejoindre, to Churchyarde.","Author"
"Hedley, Thomas. Of such as on fantesye decree & discuss: on other mens workes, lo Ovides tale thus.","Hedley, Thomas. Of such as on fantesye decree & discuss: on other mens workes, lo Ovides tale thus.","Author"
"Chappell, Geoffrey. Supplicacion unto mast Camell.","Chappell, Geoffrey. Supplicacion unto mast Camell.","Author"
"Camel, Thomas. To goodman Chappels supplication.","Camel, Thomas. To goodman Chappels supplication.","Author"
"Steple, Steven. Steven Steple to mast Camell.","Steple, Steven. Steven Steple to mast Camell.","Author"
"Camel, Thomas. Camelles conclusion.","Camel, Thomas. Camelles conclusion.","Author"
"Waterman, William, fl. 1555?","Waterman, William, fl. 1555?","Author"
"Beeard, Richard. Alphabetum primum Beeardi.","Beeard, Richard. Alphabetum primum Beeardi.","Author"
"Watson, Robert, fl. 1581-1605.","Watson, Robert, fl. 1581-1605.","Author"
"Chytraeus, David, 1531-1600.","Chytraeus, David, 1531-1600.","Author"
"Webbe, Joseph.","Webbe, Joseph.","Author"
"Gilby, Goddred.","Gilby, Goddred.","Editor"
"Cicero, Quintus Tullius.","Cicero, Quintus Tullius.","Author"
"Cicero, Marcus Tullius. Somnium Scipionis.","Cicero, Marcus Tullius. Somnium Scipionis.","Author"
"Dolman, John, of the Inner Temple.","Dolman, John, of the Inner Temple.","Author"
"Zouche of Harringworth, Edward La Zouche, Baron, 1556?","Zouche of Harringworth, Edward La Zouche, Baron, 1556?","Author"
"Citois, François, 1572-1652.","Citois, François, 1572-1652.","Author"
"Almansa y Mendoza, Andres, 17th cent. A la villa de Madrid cabeza del mundo. English. aut","Almansa y Mendoza, Andres, 17th cent. A la villa de Madrid cabeza del mundo. English. aut","Author"
"Joope, John.","Joope, John.","Author"
"Re., Pere.","Re., Pere.","Author"
"Clapham, Henoch, fl. 1600.","Clapham, Henoch, fl. 1600.","Author"
"Clare, John, 1577-1628.","Clare, John, 1577-1628.","Author"
"Anderton, Roger, d. 1640?","Anderton, Roger, d. 1640?","Author"
"Clarke, John, apothecary.","Clarke, John, apothecary.","Author"
"Clarke, Thomas, seminarie priest of the English college at Rheims.","Clarke, Thomas, seminarie priest of the English college at Rheims.","Author"
"Claudianus, Claudius.","Claudianus, Claudius.","Author"
"Clavell, John, 1601-1643.","Clavell, John, 1601-1643.","Author"
"Clayton, Gyles.","Clayton, Gyles.","Author"
"Clayton, Gyles. A briefe discourse, of martial discipline.","Clayton, Gyles. A briefe discourse, of martial discipline.","Author"
"Alba, Fernando Alvarez de Toledo, duque de, 1507-1582.","Alba, Fernando Alvarez de Toledo, duque de, 1507-1582.","Author"
"Clere-Ville, Bartholomé de.","Clere-Ville, Bartholomé de.","Author"
"Clerk, William.","Clerk, William.","Author"
"Clerk, John, d. 1552.","Clerk, John, d. 1552.","Author"
"Clerke, William, fl. 1595.","Clerke, William, fl. 1595.","Author"
"Crimsal, Richard.","Crimsal, Richard.","Author"
"Lincoln, Elizabeth Clinton, Countess of.","Lincoln, Elizabeth Clinton, Countess of.","Author"
"Closse, George.","Closse, George.","Author"
"Clowes, William, ca. 1540-1604.","Clowes, William, ca. 1540-1604.","Author"
"Almenar, Juan de. De morbo Gallico. English. aut","Almenar, Juan de. De morbo Gallico. English. aut","Author"
"Herberay, Nicolas de, sieur des Essars, 16th cent.","Herberay, Nicolas de, sieur des Essars, 16th cent.","Author"
"Cockburn, William, Sir, d. 1628.","Cockburn, William, Sir, d. 1628.","Author"
"Cocles, Bartolommeo della Rocca, 1467-1504.","Cocles, Bartolommeo della Rocca, 1467-1504.","Author"
"Cogan, Thomas, 1545?","Cogan, Thomas, 1545?","Author"
"Coignet, Matthieu, sieur de La Thuillerie, 1514-1586.","Coignet, Matthieu, sieur de La Thuillerie, 1514-1586.","Author"
"Ambrose, Saint, Bishop of Milan, d. 397.","Ambrose, Saint, Bishop of Milan, d. 397.","Author"
"Prosper, of Aquitaine, Saint, ca. 390-ca. 463.","Prosper, of Aquitaine, Saint, ca. 390-ca. 463.","Author"
"Leo I, Pope, d. 461.","Leo I, Pope, d. 461.","Author"
"Becher, Henry, fl. 1561.","Becher, Henry, fl. 1561.","Author"
"Colet, Claude, 16th cent.","Colet, Claude, 16th cent.","Author"
"Ames, William, 1576-1633.","Ames, William, 1576-1633.","Author"
"Coligny, Gaspard de, seigneur de Châtillon, 1519-1572.","Coligny, Gaspard de, seigneur de Châtillon, 1519-1572.","Author"
"Collins, Samuel, 1576-1651.","Collins, Samuel, 1576-1651.","Author"
"Collins, Thomas, fl. 1610-1615.","Collins, Thomas, fl. 1610-1615.","Author"
"Colman, Walter, d. 1645.","Colman, Walter, d. 1645.","Author"
"Colmenero de Ledesma, Antonio.","Colmenero de Ledesma, Antonio.","Author"
"Coloma, Carlos, 1573-1637.","Coloma, Carlos, 1573-1637.","Author"
"Baltimore, George Calvert, Baron, 1580?","Baltimore, George Calvert, Baron, 1580?","Author"
"Colonna, Francesco, d. 1527.","Colonna, Francesco, d. 1527.","Author"
"R. D.","R. D.","Author"
"Colonne, Guido delle, 13th cent. Historia destructionis Troiae.","Colonne, Guido delle, 13th cent. Historia destructionis Troiae.","Author"
"Benoît, de Sainte-More, 12th cent. Roman de Troie.","Benoît, de Sainte-More, 12th cent. Roman de Troie.","Author"
"Colse, Peter.","Colse, Peter.","Author"
"Homer. Odyssey.","Homer. Odyssey.","Author"
"Dorrell, Hadrian. Willobie his avisa.","Dorrell, Hadrian. Willobie his avisa.","Author"
"A. C., fl. 1600.","A. C., fl. 1600.","Author"
"Colynet, Antony.","Colynet, Antony.","Author"
"Danett, Thomas, fl. 1566-1601.","Danett, Thomas, fl. 1566-1601.","Author"
"Galigaï, Léonora, ca. 1571-1617.","Galigaï, Léonora, ca. 1571-1617.","Author"
"Conestaggio, Gerolamo Franchi di.","Conestaggio, Gerolamo Franchi di.","Author"
"Amner, John, d. 1641.","Amner, John, d. 1641.","Author"
"Constable, Henry, 1562-1613.","Constable, Henry, 1562-1613.","Author"
"W. W., fl. 1623.","W. W., fl. 1623.","Author"
"Du Perron, Jacques Davy, 1556-1618.","Du Perron, Jacques Davy, 1556-1618.","Author"
"Conway, William, fl. 1550.","Conway, William, fl. 1550.","Author"
"Cooke, Alexander, 1564-1632.","Cooke, Alexander, 1564-1632.","Author"
"Cooke, Alexander, 1564-1532.","Cooke, Alexander, 1564-1532.","Author"
"Anderson, Anthony, d. 1593.","Anderson, Anthony, d. 1593.","Author"
"Cooke, Edward, fl. 1626-1631.","Cooke, Edward, fl. 1626-1631.","Author"
"Cooke, Jo., fl. 1614.","Cooke, Jo., fl. 1614.","Author"
"Greene, Thomas, d. 1612.","Greene, Thomas, d. 1612.","Author"
"Cooke, Richard, 1574 or 5-1639.","Cooke, Richard, 1574 or 5-1639.","Author"
"Cooper, Thomas, fl. 1626.","Cooper, Thomas, fl. 1626.","Author"
"Cooper, John, fl. 1626.","Cooper, John, fl. 1626.","Author"
"Coote, Edmund, fl. 1597.","Coote, Edmund, fl. 1597.","Author"
"Cope, Anthony, Sir, d. 1551.","Cope, Anthony, Sir, d. 1551.","Author"
"Copland, Patrick, ca. 1570-ca. 1655.","Copland, Patrick, ca. 1570-ca. 1655.","Author"
"Pope, Peter, fl. 1622.","Pope, Peter, fl. 1622.","Author"
"Anderson, Patrick, 1575-1624.","Anderson, Patrick, 1575-1624.","Author"
"Balsac, Robert de, ca. 1440-1503.","Balsac, Robert de, ca. 1440-1503.","Author"
"Santa Cruz de Dueñas, Melchor de. Floresta española.","Santa Cruz de Dueñas, Melchor de. Floresta española.","Author"
"Cota, Rodrigo de. Dialogo entre el amor y un caballero viejo.","Cota, Rodrigo de. Dialogo entre el amor y un caballero viejo.","Author"
"Rivers, Anthony Woodville, Earl, 1442?","Rivers, Anthony Woodville, Earl, 1442?","Author"
"Cordier, Mathurin, 1479-1564.","Cordier, Mathurin, 1479-1564.","Author"
"Corkine, William, fl. 1610-1612.","Corkine, William, fl. 1610-1612.","Author"
"Corneille, Pierre, 1606-1684.","Corneille, Pierre, 1606-1684.","Author"
"J. R. (Joseph Rutter), fl. 1635-1640.","J. R. (Joseph Rutter), fl. 1635-1640.","Author"
"Desfontaines, Nicolas-Marc, d. 1652.","Desfontaines, Nicolas-Marc, d. 1652.","Author"
"Cornwallis, William, Sir, d. 1631?","Cornwallis, William, Sir, d. 1631?","Author"
"Olney, Henry.","Olney, Henry.","Author"
"Hidalgo, Gaspar Lucas. Carnestolendas de Castilla.","Hidalgo, Gaspar Lucas. Carnestolendas de Castilla.","Author"
"Passerat, Jean, 1534-1602.","Passerat, Jean, 1534-1602.","Author"
"Corrozet, Gilles, 1510-1568.","Corrozet, Gilles, 1510-1568.","Author"
"Corte, Claudio.","Corte, Claudio.","Author"
"Cortés, Martín, 1532-1589.","Cortés, Martín, 1532-1589.","Author"
"Coryate, Thomas, ca. 1577-1617.","Coryate, Thomas, ca. 1577-1617.","Author"
"Hunsdon, Henry Carey, Baron, 1526-1596.","Hunsdon, Henry Carey, Baron, 1526-1596.","Author"
"Cosby, Arnold, d. 1591.","Cosby, Arnold, d. 1591.","Author"
"Cosin, Richard, 1549?","Cosin, Richard, 1549?","Author"
"Andrewes, Lancelot, 1555-1626.","Andrewes, Lancelot, 1555-1626.","Author"
"Cosyn, John.","Cosyn, John.","Author"
"Cotta, John, 1575?","Cotta, John, 1575?","Author"
"Marlborough, James Ley, Earl of, 1550-1629.","Marlborough, James Ley, Earl of, 1550-1629.","Author"
"Cottesford, Samuel.","Cottesford, Samuel.","Author"
"Cotton, Clement.","Cotton, Clement.","Author"
"Du Moulin, Pierre, 1568-1658.","Du Moulin, Pierre, 1568-1658.","Author"
"Barnes, John, fl. 1600-1621.","Barnes, John, fl. 1600-1621.","Author"
"Plaix, César de, d. 1641.","Plaix, César de, d. 1641.","Author"
"Du Coignet, Pierre.","Du Coignet, Pierre.","Author"
"Du Bois-Olivier, Jean, d. 1626.","Du Bois-Olivier, Jean, d. 1626.","Author"
"Cotton, Roger.","Cotton, Roger.","Author"
"Andrewes, John, fl. 1615.","Andrewes, John, fl. 1615.","Author"
"Cotton, William, d. 1621.","Cotton, William, d. 1621.","Author"
"Learned phisition.","Learned phisition.","Author"
"Courtney, Charles, d. 1612.","Courtney, Charles, d. 1612.","Author"
"Covbridge, Cranmer.","Covbridge, Cranmer.","Author"
"Cousin, Gilbert, 1506-1567.","Cousin, Gilbert, 1506-1567.","Author"
"Coverte, Robert.","Coverte, Robert.","Author"
"Cowell, John, 1554-1611.","Cowell, John, 1554-1611.","Author"
"Cowley, Abraham, 1618-1667.","Cowley, Abraham, 1618-1667.","Author"
"Cowper, William, 1588-1619.","Cowper, William, 1588-1619.","Author"
"Coxe, Francis, fl. 1560.","Coxe, Francis, fl. 1560.","Author"
"Craig, Alexander, 1567?","Craig, Alexander, 1567?","Author"
"Crakanthorpe, Richard, 1567-1624.","Crakanthorpe, Richard, 1567-1624.","Author"
"Crakanthorpe, George, b. 1586 or 7.","Crakanthorpe, George, b. 1586 or 7.","Author"
"Crane, Ralph.","Crane, Ralph.","Author"
"Cranley, Thomas, fl. 1635.","Cranley, Thomas, fl. 1635.","Author"
"E. P., fl. 1556.","E. P., fl. 1556.","Author"
"Mary I, Queen of England, 1516-1558.","Mary I, Queen of England, 1516-1558.","Author"
"Story, John, 1510?","Story, John, 1510?","Author"
"Abbot, Robert, 1588?","Abbot, Robert, 1588?","Author"
"Crashaw, Richard, 1613?","Crashaw, Richard, 1613?","Author"
"L. D., fl. 1610.","L. D., fl. 1610.","Author"
"Hainault, Jean de.","Hainault, Jean de.","Author"
"Patrick, Simon, d. 1613.","Patrick, Simon, d. 1613.","Author"
"Crompton, Richard, fl. 1573-1599.","Crompton, Richard, fl. 1573-1599.","Author"
"Buckeridge, John, 1562?","Buckeridge, John, 1562?","Author"
"Crooke, Helkiah, 1576-1635.","Crooke, Helkiah, 1576-1635.","Author"
"Bauhin, Caspar, 1560-1624.","Bauhin, Caspar, 1560-1624.","Author"
"Du Laurens, André, 1558-1609.","Du Laurens, André, 1558-1609.","Author"
"Crosse, Henry.","Crosse, Henry.","Author"
"Pounde, Thomas, 1539-1616.","Pounde, Thomas, 1539-1616.","Author"
"Tripp, Henry, d. 1612.","Tripp, Henry, d. 1612.","Author"
"Debnam, Samuel.","Debnam, Samuel.","Author"
"Crowne, William.","Crowne, William.","Author"
"Cro, François de.","Cro, François de.","Author"
"Hart, William, fl. 1620.","Hart, William, fl. 1620.","Author"
"Culpeper, Thomas, Sir, 1578-1662.","Culpeper, Thomas, Sir, 1578-1662.","Author"
"Cutler, Edward.","Cutler, Edward.","Author"
"Cuningham, William, b. 1531.","Cuningham, William, b. 1531.","Author"
"Curione, Celio Augustino, 1538-1567.","Curione, Celio Augustino, 1538-1567.","Author"
"Curione, Celio Secondo, 1503-1569.","Curione, Celio Secondo, 1503-1569.","Author"
"Page, William, fl. 1566.","Page, William, fl. 1566.","Author"
"Browne, Thomas, ca. 1535-1585.","Browne, Thomas, ca. 1535-1585.","Author"
"Curtius Rufus, Quintus.","Curtius Rufus, Quintus.","Author"
"Brende, John.","Brende, John.","Author"
"Cyprian, Saint, Bishop of Carthage.","Cyprian, Saint, Bishop of Carthage.","Author"
"Pico della Mirandola, Giovanni, 1463-1494, Regulae duodecim portim excitantes portim dirigentes hominem in pugna spirituali. aut","Pico della Mirandola, Giovanni, 1463-1494, Regulae duodecim portim excitantes portim dirigentes hominem in pugna spirituali. aut","Author"
"Duncon, Eleazar, 1597 or 8-1660.","Duncon, Eleazar, 1597 or 8-1660.","Author"
"Davison, Francis, 1575?","Davison, Francis, 1575?","Author"
"G. D.","G. D.","Author"
"H. D., fl. 1583.","H. D., fl. 1583.","Author"
"J. D., Gent.","J. D., Gent.","Author"
"R. D., fl. 1587.","R. D., fl. 1587.","Author"
"T. D.","T. D.","Author"
"Daborne, Robert, d. 1628.","Daborne, Robert, d. 1628.","Author"
"Daines, Simon.","Daines, Simon.","Author"
"Dale, Elizabeth, Lady.","Dale, Elizabeth, Lady.","Author"
"Dallington, Robert, 1561-1637.","Dallington, Robert, 1561-1637.","Author"
"Abenezrah, Kinki.","Abenezrah, Kinki.","Author"
"Michell, Francis, Sir, b. 1556.","Michell, Francis, Sir, b. 1556.","Author"
"Damiano, da Odenara.","Damiano, da Odenara.","Author"
"Rowbothum, James.","Rowbothum, James.","Author"
"Vida, Marco Girolamo, ca. 1485-1566.","Vida, Marco Girolamo, ca. 1485-1566.","Author"
"Daman, William, ca. 1540-1591.","Daman, William, ca. 1540-1591.","Author"
"Swayne, William.","Swayne, William.","Author"
"Dando, John.","Dando, John.","Author"
"Runt, Harrie. aut","Runt, Harrie. aut","Author"
"Daneau, Lambert, ca. 1530-1595?","Daneau, Lambert, ca. 1530-1595?","Author"
"Danyel, John, 1564-ca. 1626.","Danyel, John, 1564-ca. 1626.","Author"
