"","ID","Role"
"Candale, François de Foix, comte de, 1502-1594.","Candale, François de Foix, comte de, 1502-1594.","Author"
"Billingsley, Henry, Sir, d. 1606.","Billingsley, Henry, Sir, d. 1606.","Author"
"Eudes, Morton.","Eudes, Morton.","Author"
"Owen, Lewis, 1572-1633.","Owen, Lewis, 1572-1633.","Author"
"Eunapius, ca. 345-ca. 420.","Eunapius, ca. 345-ca. 420.","Author"
"Junius, Hadrianus, 1511-1575.","Junius, Hadrianus, 1511-1575.","Author"
"Eusebius, of Caesarea, Bishop of Caesarea, ca. 260-ca. 340.","Eusebius, of Caesarea, Bishop of Caesarea, ca. 260-ca. 340.","Author"
"Hanmer, Meredith, 1543-1604.","Hanmer, Meredith, 1543-1604.","Author"
"Socrates, Scholasticus, ca. 379-ca. 440.","Socrates, Scholasticus, ca. 379-ca. 440.","Author"
"Evagrius, Scholasticus, b. 536?","Evagrius, Scholasticus, b. 536?","Author"
"Eutropius, 4th cent.","Eutropius, 4th cent.","Author"
"Haward, Nicholas.","Haward, Nicholas.","Author"
"Evans, Edward, b. 1573.","Evans, Edward, b. 1573.","Author"
"Evans, John, minister of Gods word.","Evans, John, minister of Gods word.","Author"
"Evans, Lewis, fl. 1574.","Evans, Lewis, fl. 1574.","Author"
"Evans, William, b. 1598 or 9.","Evans, William, b. 1598 or 9.","Author"
"Evans, William, poet.","Evans, William, poet.","Author"
"Everard, John, 1575?","Everard, John, 1575?","Author"
"Everard, John, b. 1587.","Everard, John, b. 1587.","Author"
"Ewich, Johann von, 1525-1588.","Ewich, Johann von, 1525-1588.","Author"
"Stockwood, John, d. 1610.","Stockwood, John, d. 1610.","Author"
"Johnson, Jacob, of Dort in Holland.","Johnson, Jacob, of Dort in Holland.","Author"
"Haget, Peter van.","Haget, Peter van.","Author"
"Philips, Martin.","Philips, Martin.","Author"
"France. Conseil du roi.","France. Conseil du roi.","Author"
"G. B. A. F.","G. B. A. F.","Author"
"Bostocke, Richard.","Bostocke, Richard.","Author"
"I. F., fl. 1633.","I. F., fl. 1633.","Author"
"Fletcher, Joseph, 1577?","Fletcher, Joseph, 1577?","Author"
"R. B., Gent.","R. B., Gent.","Author"
"Brathwaite, Richard, 1588?","Brathwaite, Richard, 1588?","Author"
"Bernard, of Clairvaux, Saint, 1090 or 91-1153.","Bernard, of Clairvaux, Saint, 1090 or 91-1153.","Author"
"T. F.","T. F.","Author"
"Fenner, Thomas, d. 1590?","Fenner, Thomas, d. 1590?","Author"
"T. F., fl. 1630.","T. F., fl. 1630.","Author"
"Fabricius, Joannes, Montanus, 1527-1566.","Fabricius, Joannes, Montanus, 1527-1566.","Author"
"L. A., fl. 1562.","L. A., fl. 1562.","Author"
"Fabyan, Robert, d. 1513.","Fabyan, Robert, d. 1513.","Author"
"Fage, John, student in phisicke.","Fage, John, student in phisicke.","Author"
"Falconer, John, 1577-1656.","Falconer, John, 1577-1656.","Author"
"Fale, Thomas, fl. 1604.","Fale, Thomas, fl. 1604.","Author"
"Hondius, Jodocus, 1563-1612, ill.","Hondius, Jodocus, 1563-1612, ill.","Illustrator"
"Balmford, Samuel, d. 1659?","Balmford, Samuel, d. 1659?","Author"
"Farewell, Christopher.","Farewell, Christopher.","Author"
"Farley, Henry.","Farley, Henry.","Author"
"Farmer, John, fl. 1591-1601.","Farmer, John, fl. 1591-1601.","Author"
"Adams, Thomas, fl. 1612-1653.","Adams, Thomas, fl. 1612-1653.","Author"
"German.","German.","Author"
"T. B., fl. 1599.","T. B., fl. 1599.","Author"
"Farnaby, Giles, ca. 1565-1640.","Farnaby, Giles, ca. 1565-1640.","Author"
"Farnaby, Thomas, 1575?","Farnaby, Thomas, 1575?","Author"
"Favyn, André.","Favyn, André.","Author"
"Fawkner, Antony, b. 1601 or 2.","Fawkner, Antony, b. 1601 or 2.","Author"
